"DATA","HORÁRIO","BLOCO","LOCAL DA CONCETRAÇÃO","RITMOS","TAMANHO PÚBLICO","LGBT"
"07/02","14h","Cabei de Chegar","R. Matias Cardoso, 53, Santo Agostinho","AXÉ, MPB, FORRÓ, PAGODE, SAMBA, SERTANEJO","Pequeno",""
"07/02","14h","Carnafate","R. José de Alencar, 928, Nova Suissa","MPB, AFRO","Pequeno",""
"07/02","14h","Emoriô","Av. Bandeirantes, 546, Comiteco","AXÉ, FUNK, MPB, SAMBA, POP, OUTROS","Médio",""
"07/02","14h","Não Era Amor, Era Cilada","R. Sergipe, 853, Savassi","AXÉ, PAGODE, SAMBA, SERTANEJO","Pequeno",""
"07/02","14h","Psybloquim","R. Brazópolis, 112, Floresta","POP","Pequeno",""
"07/02","14h","Sagrada Folia","Av. Petrolina, 428, Sagrada Família","AXÉ, MPB, FORRÓ, PAGODE, SAMBA, SERTANEJO, MARCHINHA, OUTROS, AFRO","Médio",""
"07/02","14h","Samba de Roda Ilê Asé Sòpònnón","Av. Bias Fortes, 3036, Carlos Prates","SAMBA, AFRO","Pequeno",""
"07/02","14h","Sobe Estevão, Desce Pinto","R. Professor Estevão Pinto, 780, Serra","AXÉ","Pequeno",""
"07/02","14h","Ta Caindo Fulô","R. Edison, 397, União","AXÉ, MPB, SAMBA, MARCHINHA, OUTROS, AFRO","Pequeno",""
"07/02","14h","Tem Churrasco Todo Dia","R. José Clemente Pereira, 245, Ipiranga","AXÉ, FORRÓ, PAGODE, SAMBA, MARCHINHA, OUTROS, AFRO","Pequeno",""
"07/02","14h","Vem Fluir","R. Silva Jardim, 388, Floresta","MPB, FORRÓ, SAMBA, MARCHINHA","Pequeno",""
"07/02","14h30","Apaetucada","R. Cristal, 130, Santa Tereza","AXÉ, FUNK, PAGODE, SAMBA, MARCHINHA, AFRO","Pequeno",""
"07/02","14h30","Bloco Kontra","R. Ibiraci, 175, Salgado Filho","AXÉ, ROCK, MPB, FORRÓ, PAGODE, SAMBA, POP, AFRO","Pequeno","👶"
"07/02","15h","Bando do Santo Chico","R. Porto Alegre, 500, Carlos Prates","AXÉ, MPB, PAGODE, SAMBA, MARCHINHA, AFRO","Pequeno","👶"
"07/02","15h","Bloco da Aninha","Av. dos Engenheiros, 503, Alípio de Melo","AXÉ, PAGODE, SAMBA, AFRO","Médio","🏳️‍🌈"
"07/02","15h","Bloco do Mamá","R. Lidio Lunardi, 83, Maria Virginha","AXÉ, ROCK, MPB, FORRÓ, SAMBA, POP, MARCHINHA, OUTROS, AFRO","Pequeno",""
"07/02","15h","Bloco Santo Batuque","R. Codajas, 706, São Gabriel","AXÉ, ROCK, MPB, SAMBA, POP, MARCHINHA","Pequeno",""
"07/02","15h","Bloco Sucatas","R. Garota de Ipanema, 319, Etelvina Carneiro","AXÉ, SAMBA, MARCHINHA, AFRO","Pequeno",""
"07/02","15h","Bloko Miame Beat Likonews","Praça Santuário São Geraldo, São Geraldo","AXÉ, FUNK, ROCK, MPB, FORRÓ, PAGODE, SAMBA, SERTANEJO, POP, MARCHINHA, OUTROS, AFRO","Pequeno",""
"07/02","15h","Jojô e Palito na Folia do Carnaval","R. Martim de Caravalho, 94, Santo Agostinho","FORRÓ, SAMBA, MARCHINHA, OUTROS","Pequeno","👶"
"07/02","15h","Pantera Cor da Rosa","R. Professor Milton Lage, 386, Bom Jesus","AXÉ, FUNK, ROCK, MPB, FORRÓ, PAGODE, SERTANEJO, POP, OUTROS, AFRO","Pequeno",""
"07/02","15h","Samba das Indomitas","R. Outono, 524, Cruzeiro","AXÉ, MPB, SAMBA, MARCHINHA","Pequeno",""
"07/02","15h","Unidos do Bairro São Paulo","R. Araua, 273, Vila São Paulo","AXÉ, FUNK, PAGODE, SAMBA, SERTANEJO, MARCHINHA","Pequeno",""
"07/02","15h30","Barebloco","R. Professor José Schettino, 35, Letícia","PAGODE, SAMBA, MARCHINHA","Pequeno",""
"07/02","15h30","Bloco do Padreco","R. Riachuelo, 1250, Padre Eustáquio","AXÉ, SAMBA, MARCHINHA","Médio",""
"07/02","16h","Banda Mole","Av. Afonso Pena, 1316, Centro","AXÉ, MPB, FORRÓ, PAGODE, SAMBA, MARCHINHA","Grande",""
"07/02","16h","Blocão do Cachorrão","R. Vicente Risola, 1506, Santa Inês","AXÉ, SAMBA, MARCHINHA","Pequeno",""
"07/02","16h","Bloco Comunidade Unidas","R. Varzéa da Palma, 277, Santa Mônica","AXÉ, FUNK, ROCK, FORRÓ, PAGODE, SAMBA, SERTANEJO, POP, MARCHINHA, AFRO","Pequeno","🏳️‍🌈"
"07/02","16h","Bloco Rebentão","Praça São José, Parque São José","AXÉ, PAGODE, SAMBA, AFRO","Pequeno",""
"07/02","16h","Bloco ZN - Ilha","Via de Pedestres Praça dos Esportes, Vila Aeroporto","FUNK","Médio",""
"07/02","16h","Panthera Disco Bloco","R. Padre Rolim, 62, Santa Efigênia","DISCO MUSIC","Médio","🏳️‍🌈"
"07/02","16h","Renafolia","Praça Urupes, Renascença","AXÉ, ROCK, MPB, SAMBA, MARCHINHA","Pequeno",""
"07/02","17h","Viaduto Carna Trance","R. da Bahia, 15, Centro","TRANCE","Pequeno",""
"07/02","18h","Bloco do Hungria","Av. Antônio Abrahão Caram, 1001, São Luiz","AXÉ, FUNK, MPB, FORRÓ, SERTANEJO, POP, OUTROS","Médio",""
"08/02","08h","Bloco da Amandona","R. Santa Rita Durão, 1216, Savassi","AXÉ, MPB, FORRÓ","Médio","🏳️‍🌈"
"08/02","08h","Nucaos","R. da Bahia, 52, Centro","AXÉ, OUTROS","Pequeno","🏳️‍🌈"
"08/02","08h","Pinta Terezinha","R. Divinópolis, 543, Santa Tereza","MARCHINHA, OUTROS","Pequeno",""
"08/02","09h","Bloco Deslumbradas","Av. Otacilio Negrão de Lima, 4411, Bandeirantes","SAMBA, MARCHINHA","Médio",""
"08/02","09h","Bloco do Balão","R. Professor Djalma Guimarães, 140, Mangabeiras","MPB, SAMBA, AFRO","Pequeno",""
"08/02","09h","Bloco Hahaha","R. Estrela do Sul, 135, Santa Tereza","AXÉ, MPB, MARCHINHA, OUTROS","Pequeno",""
"08/02","09h","Bloquinho 60+ Paixão de Carnaval - Sai da Frente que eu Danço Lento","R. Sidônia, 206, São Salvador","AXÉ, FORRÓ, SAMBA, MARCHINHA, AFRO","Pequeno","🏳️‍🌈"
"08/02","09h","Cowboy de Buteco","Praça da Liberdade, Savassi","SERTANEJO","Pequeno",""
"08/02","09h","Na Tora Bloco","R. Conselheiro Rocha, 2250, Santa Tereza","MPB, MARCHINHA, OUTROS","Pequeno",""
"08/02","09h30","Besourinhos","Praça Carlos Chagas, 33, Santo Agostinho","ROCK, POP","Médio","👶"
"08/02","10h","Afronta BH","Praça da Liberdade, Savassi","AXÉ, MPB, PAGODE, SAMBA, OUTROS, AFRO","Pequeno",""
"08/02","10h","Alceu Dispor","R. Além Paraíba, 1035, Bonfin","FORRÓ, MARCHINHA, OUTROS","Pequeno",""
"08/02","10h","As Charangueiras","R. Paraíba, 1360, Savassi","AXÉ, MPB, SAMBA, SERTANEJO","Pequeno",""
"08/02","10h","Bloco do Portão","R. Doutor Pedro Ruela, 827, Letícia","ROCK, MPB, MARCHINHA","Pequeno",""
"08/02","10h","Bloco Rock BH","Av. Getúlio Vargas, 808, Savassi","ROCK, POP","Pequeno",""
"08/02","10h","Encontro de Boizinhos Encantados","Av. Alvares Cabral, 327, Lourdes","OUTROS, AFRO","Pequeno",""
"08/02","10h","Mindinho Bateria Mirim","R. Ibiraci, 134, Salgado Filho","FUNK, FORRÓ, SAMBA, MARCHINHA","Pequeno","👶"
"08/02","10h30","Bloco do Pão Molhado","R. Valença 148, Carlos Prates","SAMBA, MARCHINHA","Pequeno",""
"08/02","11h","Folia do Cardosinho","Praça Rotary Club, 37, Sion","PAGODE, SAMBA, MARCHINHA","Pequeno",""
"08/02","11h","Morabloco","Av. Fleming, 680, Ouro Preto","AXÉ, FUNK, MPB, FORRÓ, PAGODE, SAMBA, POP, MARCHINHA","Médio",""
"08/02","11h","Rapique","R. Camilo Prates, 751, União","FUNK, MPB, PAGODE, SAMBA, POP, OUTROS, AFRO","Pequeno",""
"08/02","12h","Alegria Alegria","Praça da Bandeira, Cruzeiro","AXÉ, SAMBA, AFRO","Pequeno",""
"08/02","12h","Almas Empenadas","R. Nilo Aparecida Pinto, 341, Planalto","AXÉ, FUNK, ROCK, MPB, FORRÓ, PAGODE, SAMBA, SERTANEJO, POP, MARCHINHA, OUTROS, AFRO","Médio",""
"08/02","12h","Bloco do Minas","Av. dos Bandeirantes, 2323, Serra","AXÉ, PAGODE, SAMBA, POP, MARCHINHA, OUTROS","Pequeno",""
"08/02","12h","Bloco Gafieira","R. Nova Ponte, 22, Salgado Filho","AXÉ, FUNK, MPB, FORRÓ, SAMBA, MARCHINHA, OUTROS, AFRO","Pequeno",""
"08/02","12h","Circuladô","Praça Coronel Benjamin Guimarães, 65, Funcionários","AXÉ, FORRÓ, OUTROS, AFRO","Médio","🏳️‍🌈"
"08/02","12h","Unidos com Miragô","R. das Petúnias, 2080, Lindéia","SAMBA","Pequeno",""
"08/02","12h30","Granadas de Alegria","Av. Silva Lobo, 1336, Nova Granada","AXÉ, FUNK, ROCK, MPB, FORRÓ, SAMBA, SERTANEJO, POP, MARCHINHA, AFRO
","Pequeno",""
"08/02","13h","C&T","R. Antâo Gonçalves, 180, Taquaril","AXÉ, FUNK, FORRÓ, PAGODE, SAMBA, SERTANEJO, MARCHINHA, AFRO","Pequeno",""
"08/02","13h","Eu te Devoro","Av. dos Engenheiros, 570, Alípio de Melo","MPB","Pequeno",""
"08/02","13h","Meninos do Morro","Praça Santa Cruz, 10, Pedreira Prado Lopes","AXÉ, FUNK, ROCK, MPB, FORRÓ, PAGODE, SAMBA, SERTANEJO, POP, MARCHINHA, AFRO","Pequeno",""
"08/02","13h","Óia o Trem Quereno","Praça Duque de Caxias, Santa Tereza","AXÉ, MPB, FORRÓ, PAGODE, SAMBA, POP, MARCHINHA","Pequeno",""
"08/02","13h","Ôôô Glória!!!","R. João Ramalho, 250, Glória","AXÉ, MPB, FORRÓ, PAGODE, SAMBA, POP, AFRO","Pequeno","🏳️‍🌈"
"08/02","13h","Qui Samba é Esse?","Av. Clara Nunes, 150, Renascença","AXÉ, PAGODE, SAMBA, POP, AFRO","Pequeno",""
"08/02","13h30","Liberdade e Água Limpa","R. dos Otoni, 69, Santa Efigênia","AXÉ, MPB, FORRÓ, SAMBA, MARCHINHA, AFRO","Pequeno",""
"08/02","14h","@bsurda","R. Aarão Reis, 510, Centro","POP","Grande","🏳️‍🌈"
"08/02","14h","As Virgens do Formigueiro Quente","R. Izalina Faustina Silveira, 18, Mantiqueira","AXÉ, FUNK, ROCK, MPB, FORRÓ, PAGODE, SAMBA, SERTANEJO, MARCHINHA, AFRO","Pequeno",""
"08/02","14h","Barcca Furada e Fabinho do Terreiro","Av. Pastor Anselmo Silvestre, 85, Boa Vista","AXÉ, PAGODE, SAMBA, MARCHINHA","Pequeno",""
"08/02","14h","CarnaKvsh","Av. Getúlio Vargas, 1059, Savassi","ELETRÔNICA","Grande",""
"08/02","14h","Chá da Alice","Av. Brasil, 1145, Funcionários","AXÉ","Médio",""
"08/02","14h","Furduçin Meu Rei","R. Levindo Lopes, 124, Savassi","AXÉ","Pequeno",""
"08/02","14h","Manga com Dendê","Rodovia Camilo Teixeira da Costa, 1350, Granja Werneck","AXÉ, MPB, SAMBA, OUTROS, AFRO","Pequeno",""
"08/02","14h","Nova Folia","R. Engenheiro Correia, 279, Nova Floresta","ROCK, OUTROS","Pequeno",""
"08/02","14h","Pensa em Mim","R. Antônio Texieira Dias, 1509, Teixeira Dias","AXÉ, SERTANEJO, MARCHINHA","Pequeno",""
"08/02","14h","Salada de Frutas","Praça Zamenhof, Floresta","AXÉ, FUNK, ROCK, MPB, PAGODE, SAMBA, POP, OUTROS, AFRO","Médio","🏳️‍🌈"
"08/02","14h","Turma da Língua Solta","R. Itaguai, 431, Alto Caiçaras","AXÉ, MPB, SAMBA, MARCHINHA","Médio",""
"08/02","14h30","Chic Xique Forrozeiros","R. Versilia, 50, Bandeirantes","AXÉ, FORRÓ","Pequeno",""
"08/02","15h","Baianos Usados","R. Geraldo Martins da Silva, 111, Jaqueline","AXÉ, ROCK, MPB, SAMBA","Pequeno",""
